Cost of Capital Calculator tabular output,,,,,,
"Industry, METTR, Baseline",,,,,,
,Typically Financed,,Equity Financed,,Debt Financed,
Industry,Corporate,Non-corporate,Corporate,Non-corporate,Corporate,Non-corporate
All Investments,0.266,0.263,0.331,0.277,-0.102,0.193
"Agriculture, forestry, fishing, and hunting",0.305,0.257,0.366,0.27,-0.041,0.192
Farms,0.305,0.251,0.365,0.263,-0.041,0.188
"Forestry, fishing, and related activities",0.312,0.281,0.374,0.295,-0.048,0.204
Mining,0.168,0.109,0.243,0.126,-0.265,0.023
Oil and gas extraction,0.15,0.089,0.227,0.107,-0.296,0
"Mining, except oil and gas",0.25,0.196,0.317,0.211,-0.132,0.121
Support activities for mining,0.202,0.14,0.272,0.155,-0.198,0.065
Utilities,0.177,0.116,0.254,0.135,-0.265,0.024
Construction,0.308,0.256,0.368,0.269,-0.034,0.186
Manufacturing,0.33,0.275,0.386,0.284,0.017,0.229
Durable goods,,,,,,
Wood products,0.346,0.284,0.401,0.294,0.038,0.236
Nonmetallic mineral products,0.329,0.268,0.386,0.279,-0.001,0.213
Primary metals,0.318,0.264,0.375,0.274,0,0.218
Fabricated metal products,0.312,0.258,0.37,0.267,-0.008,0.211
Machinery,0.33,0.282,0.385,0.29,0.023,0.24
Computer and electronic products,0.326,0.267,0.382,0.277,0.012,0.221
"Electrical equipment, appliances, and components",0.358,0.304,0.411,0.312,0.066,0.265
"Motor vehicles, bodies and trailers, and parts",0.316,0.263,0.373,0.272,0,0.218
Other transportation equipment,0.361,0.309,0.413,0.316,0.077,0.273
Furniture and related products,0.343,0.286,0.398,0.295,0.04,0.243
Miscellaneous manufacturing,0.35,0.297,0.403,0.305,0.054,0.259
Nondurable goods,,,,,,
"Food, beverage, and tobacco products",0.328,0.275,0.385,0.285,0.015,0.229
Textile mills and textile product mills,0.337,0.279,0.393,0.289,0.032,0.234
Apparel and leather and allied products,0.375,0.314,0.426,0.322,0.098,0.277
Paper products,0.3,0.244,0.359,0.254,-0.032,0.192
Printing and related support activities,0.3,0.242,0.36,0.253,-0.029,0.192
Petroleum and coal products,0.335,0.27,0.392,0.282,0.002,0.213
Chemical products,0.335,0.279,0.39,0.289,0.026,0.235
Plastics and rubber products,0.314,0.264,0.372,0.273,-0.004,0.218
Wholesale trade,0.364,0.322,0.416,0.328,0.078,0.287
Retail trade,0.365,0.317,0.419,0.326,0.063,0.276
Transportation and warehousing,0.194,0.14,0.268,0.156,-0.228,0.057
Air transportation,0.207,0.144,0.278,0.16,-0.199,0.066
Railroad transportation,0.147,0.084,0.228,0.105,-0.326,-0.019
Water transportation,0.214,0.151,0.285,0.167,-0.186,0.075
Truck transportation,0.242,0.177,0.308,0.19,-0.129,0.112
Transit and ground passenger transportation,0.293,0.228,0.355,0.24,-0.055,0.166
Pipeline transportation,0.142,0.08,0.221,0.098,-0.316,-0.014
Other transportation and support activities,0.232,0.168,0.302,0.183,-0.165,0.09
Warehousing and storage,0.341,0.275,0.399,0.288,0.015,0.216
Information,0.221,0.162,0.292,0.178,-0.18,0.084
Publishing industries (including software),0.334,0.28,0.391,0.291,0.016,0.225
Motion picture and sound recording industries,0.3,0.245,0.36,0.257,-0.043,0.188
Broadcasting and telecommunications,0.202,0.144,0.275,0.161,-0.216,0.062
Information and data processing services,0.263,0.208,0.326,0.22,-0.087,0.148
Finance and insurance,0.31,0.284,0.37,0.296,-0.022,0.223
Credit intermediation and related activities,0.291,0.238,0.352,0.25,-0.049,0.182
"Securities, commodity contracts, and investments",0.353,0.298,0.41,0.31,0.03,0.235
Insurance carriers and related activities,0.336,0.275,0.393,0.286,0.021,0.221
"Funds, trusts, and other financial vehicles",0.372,0.308,0.428,0.32,0.059,0.248
Real estate and rental and leasing,0.353,0.297,0.412,0.311,0,0.22
Real estate,0.365,0.299,0.423,0.314,0.016,0.223
Rental and leasing services and lessors of intangible assets,0.2,0.141,0.27,0.156,-0.197,0.07
"Professional, scientific, and technical services",0.304,0.239,0.363,0.251,-0.025,0.184
Legal services,0.319,0.256,0.378,0.268,-0.007,0.2
Computer systems design and related services,0.317,0.253,0.374,0.263,0.001,0.203
"Miscellaneous professional, scientific, and technical services",0.299,0.234,0.359,0.246,-0.033,0.179
Management of companies and enterprises,0.351,0.287,0.408,0.299,0.031,0.231
Administrative and waste management services,0.266,0.202,0.331,0.216,-0.101,0.136
Administrative and support services,0.279,0.217,0.341,0.229,-0.069,0.157
Waste management and remediation services,0.247,0.176,0.315,0.192,-0.148,0.096
Educational services,0.34,0.274,0.4,0.288,0.005,0.21
Health care and social assistance,0.321,0.256,0.382,0.269,-0.02,0.192
Ambulatory health care services,0.308,0.243,0.369,0.255,-0.03,0.183
Hospitals,0.326,0.26,0.387,0.274,-0.017,0.194
Nursing and residential care facilities,0.322,0.257,0.383,0.271,-0.016,0.194
Social assistance,0.321,0.258,0.381,0.271,-0.016,0.195
"Arts, entertainment, and recreation",0.262,0.194,0.328,0.21,-0.126,0.117
"Performing arts, spectator sports, museums, and related activities",0.271,0.202,0.337,0.217,-0.108,0.127
"Amusements, gambling, and recreation industries",0.256,0.19,0.324,0.205,-0.135,0.111
Accommodation and food services,0.356,0.294,0.413,0.305,0.033,0.237
Accommodation,0.371,0.306,0.427,0.317,0.053,0.249
Food services and drinking places,0.332,0.262,0.391,0.274,0.002,0.204
"Other services, except government",0.312,0.242,0.373,0.255,-0.033,0.177
