Cost of Capital Calculator tabular output,,,,,,
"Asset, METTR, Reform",,,,,,
,Typically Financed,,Equity Financed,,Debt Financed,
Asset,Corporate,Non-corporate,Corporate,Non-corporate,Corporate,Non-corporate
All Investments,0.242,0.116,0.277,0.044,0.087,0.286
Equipment,0.172,0.091,0.21,0.017,0.005,0.267
Mainframes,0.255,0.108,0.284,0.035,0.131,0.281
PCs,0.255,0.108,0.284,0.035,0.131,0.281
DASDs,0.255,0.108,0.284,0.035,0.131,0.281
Printers,0.255,0.108,0.284,0.035,0.131,0.281
Terminals,0.255,0.108,0.284,0.035,0.131,0.281
Tape drives,0.255,0.108,0.284,0.035,0.131,0.281
Storage devices,0.255,0.108,0.284,0.035,0.131,0.281
System integrators,0.255,0.108,0.284,0.035,0.131,0.281
Communications,0.163,0.089,0.202,0.015,-0.009,0.265
Nonelectro medical instruments,0.173,0.091,0.211,0.017,0.007,0.267
Electro medical instruments,0.173,0.091,0.211,0.017,0.007,0.267
Nonmedical instruments,0.173,0.091,0.211,0.017,0.007,0.267
Photocopy and related equipment,0.167,0.09,0.205,0.016,0.001,0.266
Office and accounting equipment,0.21,0.099,0.244,0.025,0.066,0.273
Nuclear fuel,0.191,0.095,0.226,0.021,0.037,0.27
Other fabricated metals,0.153,0.088,0.193,0.013,-0.024,0.263
Steam engines,0.183,0.093,0.222,0.019,0.012,0.268
Internal combustion engines,0.204,0.098,0.239,0.024,0.055,0.272
Metalworking machinery,0.167,0.09,0.206,0.016,-0.002,0.266
Special industrial machinery,0.158,0.089,0.198,0.014,-0.016,0.264
General industrial equipment,0.16,0.089,0.2,0.015,-0.013,0.265
Electric transmission and distribution,0.181,0.093,0.22,0.019,0.009,0.268
Light trucks (including utility vehicles),0.165,0.09,0.203,0.016,-0.003,0.265
"Other trucks, buses and truck trailers",0.165,0.09,0.203,0.016,-0.003,0.265
Autos,0.217,0.1,0.25,0.027,0.076,0.274
Aircraft,0.133,0.084,0.175,0.01,-0.052,0.261
Ships and boats,0.156,0.088,0.197,0.014,-0.023,0.264
Railroad equipment,0.137,0.085,0.179,0.01,-0.05,0.261
Household furniture,0.152,0.087,0.192,0.013,-0.022,0.264
Other furniture,0.165,0.09,0.204,0.016,-0.005,0.265
Other agricultural machinery,0.165,0.09,0.204,0.016,-0.005,0.265
Farm tractors,0.178,0.092,0.215,0.018,0.014,0.268
