Cost of Capital Calculator tabular output,,,,,,
"Asset, METTR, Baseline",,,,,,
,Typically Financed,,Equity Financed,,Debt Financed,
Asset,Corporate,Non-corporate,Corporate,Non-corporate,Corporate,Non-corporate
All Investments,0.285,0.279,0.348,0.292,-0.075,0.208
Equipment,0.184,0.122,0.255,0.136,-0.218,0.052
Mainframes,0.304,0.243,0.356,0.248,0.029,0.221
PCs,0.304,0.243,0.356,0.248,0.029,0.221
DASDs,0.304,0.243,0.356,0.248,0.029,0.221
Printers,0.304,0.243,0.356,0.248,0.029,0.221
Terminals,0.304,0.243,0.356,0.248,0.029,0.221
Tape drives,0.304,0.243,0.356,0.248,0.029,0.221
Storage devices,0.304,0.243,0.356,0.248,0.029,0.221
System integrators,0.304,0.243,0.356,0.248,0.029,0.221
Communications,0.17,0.108,0.243,0.123,-0.246,0.031
Nonelectro medical instruments,0.186,0.123,0.256,0.137,-0.212,0.054
Electro medical instruments,0.186,0.123,0.256,0.137,-0.212,0.054
Nonmedical instruments,0.186,0.123,0.256,0.137,-0.212,0.054
Photocopy and related equipment,0.177,0.115,0.248,0.129,-0.224,0.045
Office and accounting equipment,0.241,0.18,0.302,0.188,-0.092,0.136
Nuclear fuel,0.212,0.15,0.278,0.161,-0.15,0.096
Other fabricated metals,0.154,0.092,0.23,0.109,-0.281,0.008
Steam engines,0.199,0.135,0.272,0.151,-0.21,0.057
Internal combustion engines,0.233,0.17,0.295,0.18,-0.114,0.121
Metalworking machinery,0.177,0.114,0.249,0.129,-0.231,0.041
Special industrial machinery,0.163,0.1,0.237,0.116,-0.262,0.02
General industrial equipment,0.166,0.103,0.24,0.119,-0.255,0.025
Electric transmission and distribution,0.197,0.133,0.27,0.149,-0.216,0.053
Light trucks (including utility vehicles),0.173,0.111,0.244,0.125,-0.233,0.04
"Other trucks, buses and truck trailers",0.173,0.111,0.244,0.125,-0.233,0.04
Autos,0.251,0.189,0.31,0.197,-0.073,0.149
Aircraft,0.124,0.062,0.203,0.08,-0.34,-0.032
Ships and boats,0.159,0.096,0.236,0.114,-0.281,0.008
Railroad equipment,0.129,0.067,0.209,0.086,-0.338,-0.03
Household furniture,0.154,0.092,0.228,0.108,-0.274,0.012
Other furniture,0.174,0.111,0.246,0.126,-0.238,0.036
Other agricultural machinery,0.174,0.111,0.246,0.126,-0.238,0.036
Farm tractors,0.193,0.13,0.262,0.144,-0.197,0.064
Other construction machinery,0.163,0.101,0.236,0.116,-0.253,0.026
Construction tractors,0.168,0.106,0.24,0.121,-0.243,0.033
Mining and oilfield machinery,0.196,0.134,0.265,0.147,-0.19,0.069
Service industry machinery,0.198,0.136,0.266,0.148,-0.186,0.072
Household appliances,0.169,0.107,0.241,0.121,-0.241,0.034
Other electrical,0.218,0.156,0.283,0.167,-0.143,0.1
Other,0.194,0.132,0.263,0.145,-0.194,0.066
Structures,0.286,0.259,0.35,0.273,-0.074,0.193
Office,0.376,0.312,0.43,0.323,0.077,0.261
Hospitals,0.357,0.291,0.416,0.305,0.028,0.227
Special care,0.357,0.291,0.416,0.305,0.028,0.227
Medical buildings,0.376,0.312,0.43,0.323,0.077,0.261
Multimerchandise shopping,0.381,0.317,0.434,0.327,0.089,0.269
Food and beverage establishments,0.381,0.317,0.434,0.327,0.089,0.269
Warehouses,0.369,0.304,0.425,0.317,0.059,0.249
Mobile structures,0.126,0.064,0.207,0.083,-0.344,-0.034
Other commercial,0.381,0.317,0.434,0.327,0.089,0.269
Manufacturing,0.396,0.333,0.446,0.342,0.127,0.296
Electric,0.168,0.103,0.248,0.124,-0.294,0.001
Wind and solar,0.089,0.028,0.175,0.049,-0.42,-0.083
Gas,0.117,0.056,0.198,0.075,-0.355,-0.041
Petroleum pipelines,0.084,0.024,0.171,0.046,-0.43,-0.09
Communication,0.158,0.094,0.239,0.115,-0.309,-0.008
Petroleum and natural gas,0.117,0.056,0.198,0.075,-0.355,-0.041
Mining,0.118,0.056,0.2,0.076,-0.364,-0.047
Educational and vocational,0.357,0.291,0.416,0.305,0.028,0.227
Lodging,0.386,0.323,0.439,0.333,0.103,0.279
Amusement and recreation,0.105,0.043,0.19,0.065,-0.393,-0.066
Air transportation,0.373,0.308,0.428,0.32,0.069,0.256
Other transportation,0.373,0.308,0.428,0.32,0.069,0.256
Other railroad,0.17,0.105,0.25,0.126,-0.296,0.001
Track replacement,0.101,0.039,0.186,0.061,-0.404,-0.072
Local transit structures,0.373,0.308,0.428,0.32,0.069,0.256
Other land transportation,0.084,0.024,0.171,0.046,-0.43,-0.09
Farm,0.181,0.116,0.259,0.136,-0.267,0.02
Water supply,0.179,0.114,0.257,0.134,-0.273,0.016
Sewage and waste disposal,0.179,0.114,0.257,0.134,-0.273,0.016
Public safety,0.373,0.308,0.428,0.32,0.069,0.256
Highway and conservation and development,0.157,0.092,0.237,0.113,-0.313,-0.011
Intellectual Property,0.107,0.037,0.185,0.053,-0.351,-0.055
Own account software,0.036,-0.021,0.124,0,-0.501,-0.137
Software publishers,0.164,0.102,0.236,0.117,-0.247,0.03
Computer systems design and related services,0.218,0.157,0.282,0.167,-0.136,0.105
Theatrical movies,0.268,0.207,0.325,0.214,-0.042,0.171
Long-lived television programs,0.263,0.201,0.319,0.208,-0.046,0.167
Books,0.267,0.206,0.324,0.212,-0.04,0.172
Music,0.247,0.185,0.305,0.192,-0.073,0.148
Other entertainment originals,0.268,0.206,0.325,0.213,-0.04,0.172
Pharmaceutical and medicine manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
"Chemical manufacturing, ex. pharma and med",0.036,-0.021,0.124,0,-0.501,-0.137
Semiconductor and other component manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Computers and peripheral equipment manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Communications equipment manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Navigational and other instruments manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
"Other computer and electronic manufacturing, n.e.c.",0.036,-0.021,0.124,0,-0.501,-0.137
Motor vehicles and parts manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Aerospace products and parts manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Other manufacturing,0.036,-0.021,0.124,0,-0.501,-0.137
Scientific research and development services,0.036,-0.021,0.124,0,-0.501,-0.137
Financial and real estate services,0.036,-0.021,0.124,0,-0.501,-0.137
"All other nonmanufacturing, n.e.c.",0.036,-0.021,0.124,0,-0.501,-0.137
Inventories,0.423,0.362,0.465,0.366,0.189,0.341
Land,0.374,0.308,0.431,0.322,0.024,0.229
